"Kent, J",10,L.M.,J. Kent,TRUE
"Kent, J",76,L.M.,J. Kent,TRUE
"Kent, J",87,148TH,J. Kent,TRUE
"Kent, J",113,L.M.,J. Kent,TRUE
"Kent, J",145,7S,J. Kent,TRUE
"Kent, J",183,8S,J. Kent,TRUE
"Kent, J",217,8.8.6.,J. Kent,TRUE
"Kent, J",297,104TH,J. Kent,TRUE
"Kent, J",298,8S,J. Kent,TRUE
"Kent, J",334,8S,J. Kent,TRUE
"Kent, J",405,L.M.,J. Kent,TRUE
"Kent, J",406,8.8.6.,J. Kent,TRUE
"Kent, J",407,L.M.,J. KENT (LAST 3 VERSES),FALSE
"Kent, J",411,C.M.,J. Kent,TRUE
"Kent, J",412,S.M.,J. Kent,TRUE
"Kent, J",413,C.M.,J. Kent,TRUE
"Kent, J",732,148TH,J. Kent,TRUE
"Kent, J",757,C.M.,J. Kent,TRUE
"Kent, J",758,8.7.4.,J. Kent,TRUE
"Kent, J",759,8.7.,J. Kent,TRUE
"Kent, J",760,8.7.4.,J. Kent,TRUE
"Kent, J",766,8.7.4.,J. Kent,TRUE
"Kent, J",908,L.M.,J. Kent,TRUE
"Kent, J",909,S.M.,J. Kent,TRUE
"Kent, J",910,L.M.,J. Kent,TRUE
"Kent, J",911,L.M.,J. Kent,TRUE
"Kent, J",912,104TH,J. Kent,TRUE
"Kent, J",913,8.7.,J. Kent,TRUE
"Kent, J",914,C.M.,J. Kent,TRUE
"Kent, J",915,L.M.,J. Kent,TRUE
"Kent, J",916,8.7.4.,J. Kent,TRUE
"Kent, J",917,8.8.6.,J. Kent,TRUE
"Kent, J",918,8.7.4.,J. Kent,TRUE
"Kent, J",920,8.7.4.,J. Kent,TRUE
"Kent, J",921,S.M.,J. Kent,TRUE
"Kent, J",922,S.M.,J. Kent,TRUE
"Kent, J",923,C.M.,J. Kent,TRUE
"Kent, J",924,L.M.,J. Kent,TRUE
"Kent, J",925,L.M.,J. Kent,TRUE
"Kent, J",926,L.M.,J. Kent,TRUE
"Kent, J",930,C.M.,J. Kent,TRUE
"Kent, J",994,S.M.,J. Kent,TRUE
"Kent, J",1044,7S,J. Kent,TRUE
"Kent, J",1089,C.M.,J. Kent,TRUE
"Kent, J",1090,L.M.,J. Kent,TRUE
"Kent, J",1091,L.M.,J. Kent,TRUE
"Kent, J",1092,C.M.,J. Kent,TRUE
"Kent, J",1093,C.M.,J. Kent,TRUE
"Kent, J",1094,C.M.,J. Kent,TRUE
"Kent, J",1097,11S,J. Kent,TRUE
"Kent, J",1127,L.M.,J. Kent,TRUE
"Kent, J",1132,8.8.6.,J. Kent,TRUE
"Kent, J",87A,L.M.,J. Kent,TRUE
